elbo,kld,mse,epoch
81.53911,5.7685494,70.00201,1
65.92581,3.5449586,58.83589,2
57.857716,4.2052116,49.447292,3
52.420986,4.0704885,44.28001,4
43.568596,4.724674,34.119247,5
40.715816,4.4823666,31.751083,6
40.40005,4.239385,31.921282,7
34.05739,4.2524796,25.552431,8
31.375507,4.259101,22.857306,9
33.17188,3.6399052,25.892067,10
32.329437,3.8325677,24.664303,11
27.47057,3.9926155,19.485338,12
24.920555,4.471746,15.977062,13
25.525234,4.106416,17.3124,14
26.066273,3.8761315,18.314009,15
22.87275,3.7522507,15.368247,16
25.561749,4.076461,17.408827,17
23.087757,3.9003005,15.287155,18
22.707176,3.7169285,15.27332,19
27.601309,3.5885851,20.424139,20
20.690676,3.9706588,12.749358,21
21.764597,4.001661,13.761275,22
18.2008,3.5611775,11.078445,23
17.333565,3.731383,9.870798,24
18.197994,3.7829876,10.63202,25
17.471977,4.016067,9.439843,26
18.786648,3.6706975,11.445253,27
21.49614,3.909145,13.677849,28
18.016216,3.8334112,10.349393,29
19.043919,3.5740774,11.895764,30
17.311493,3.9610431,9.389407,31
17.730997,3.7659044,10.199188,32
19.279324,3.4945502,12.290223,33
19.132627,3.7540045,11.624619,34
17.592274,3.833029,9.926215,35
19.904339,3.5407114,12.822915,36
26.125357,3.9456642,18.234028,37
16.441948,3.6692083,9.103532,38
23.080534,3.4229362,16.234661,39
15.7904,3.7631059,8.264188,40
16.218246,3.6840158,8.850216,41
16.233295,3.8857603,8.461774,42
16.531433,3.7583137,9.014805,43
25.657726,3.7437263,18.170273,44
17.806843,3.601645,10.603553,45
16.858856,3.6401057,9.578645,46
17.419489,3.8883488,9.642792,47
17.746819,3.7754216,10.195976,48
16.250439,3.7009635,8.848512,49
19.351698,3.6165807,12.118536,50
16.74591,3.6766334,9.392643,51
20.063166,3.715491,12.632184,52
16.848846,3.6624317,9.523982,53
20.156757,3.685863,12.785032,54
15.518336,3.8488429,7.8206506,55
15.520686,3.797527,7.925632,56
15.941492,3.794513,8.352467,57
15.7378,3.7253704,8.287059,58
16.387516,3.8484418,8.690632,59
16.134312,3.828811,8.47669,60
16.575802,3.724922,9.1259575,61
17.951656,3.696807,10.558042,62
15.599192,3.9063113,7.786569,63
16.356604,3.7706428,8.815318,64
16.105968,3.8174782,8.471012,65
18.441559,3.85671,10.728139,66
17.034126,3.8423004,9.349525,67
16.899801,3.9410594,9.017683,68
16.3041,3.71448,8.875141,69
16.790688,3.7256305,9.339426,70
15.455531,3.8380427,7.7794456,71
15.400124,3.7333004,7.9335227,72
15.582951,3.6666682,8.249614,73
15.509762,3.7474732,8.014815,74
16.595371,3.699589,9.196194,75
16.37746,3.8472888,8.682883,76
15.911558,3.7869802,8.337598,77
15.131351,3.8603802,7.4105906,78
15.306839,3.864486,7.5778675,79
15.188639,3.786929,7.6147814,80
15.248199,3.8246999,7.598799,81
14.918749,3.8302748,7.2581987,82
14.773331,3.7441697,7.284991,83
14.973602,3.798437,7.3767285,84
14.733822,3.8032029,7.1274166,85
15.032995,3.672851,7.6872926,86
14.731085,3.8706505,6.9897842,87
14.715094,3.8223937,7.070306,88
15.443123,3.7876198,7.8678837,89
14.768946,3.7909386,7.1870685,90
14.817949,3.7676861,7.2825766,91
15.0076885,3.790819,7.426051,92
14.963346,3.8030584,7.3572288,93
15.014875,3.7885022,7.437871,94
14.6724825,3.8016777,7.069127,95
14.831577,3.7793782,7.272821,96
14.930643,3.7677488,7.395146,97
14.750086,3.78378,7.182526,98
14.788948,3.7900054,7.208937,99
14.851821,3.769176,7.313469,100
