elbo,kld,mse,epoch
28.995052,5.1283555,18.73834,1
28.040537,4.836978,18.366581,2
17.73938,4.2964315,9.146516,3
18.785503,4.283322,10.218861,4
14.968546,4.4063096,6.155926,5
15.422026,4.128812,7.1644015,6
15.49526,4.1411657,7.2129292,7
13.790145,4.4968576,4.7964296,8
14.58914,3.8055148,6.978111,9
14.194393,3.887033,6.4203267,10
15.147879,3.8148756,7.5181274,11
16.423351,3.7982426,8.826865,12
17.30941,4.218463,8.872485,13
15.54757,4.3299966,6.887577,14
13.814648,4.386465,5.041718,15
16.428497,4.7857003,6.857096,16
19.475609,3.9682186,11.539171,17
15.894355,4.3000765,7.294202,18
14.353848,4.1847243,5.9844,19
21.55835,3.756129,14.046092,20
15.829611,4.4206624,6.9882855,21
16.600578,4.7566586,7.0872617,22
22.361727,3.5893283,15.18307,23
15.522921,4.7809663,5.9609876,24
16.486654,4.9595356,6.567583,25
28.007553,5.5736065,16.86034,26
18.163387,4.8477783,8.467831,27
18.456205,4.5985403,9.259125,28
16.062666,4.865061,6.3325443,29
21.260942,3.636167,13.988608,30
14.012053,3.8920724,6.2279077,31
14.92787,4.3356934,6.2564836,32
16.187466,3.498931,9.189604,33
15.507488,3.9416013,7.624286,34
19.711714,3.6421435,12.427427,35
17.317875,3.9718733,9.374127,36
14.587027,3.6637018,7.2596226,37
14.219597,3.4821124,7.255372,38
13.450317,3.6230636,6.2041907,39
16.171446,3.510463,9.150519,40
14.118557,3.4748743,7.168808,41
13.763194,3.479136,6.804922,42
13.133451,3.4447145,6.244023,43
13.540878,3.4011295,6.7386193,44
13.214731,3.7425554,5.729621,45
15.152555,3.4966123,8.159331,46
15.528612,3.7235696,8.081473,47
18.818249,3.9837966,10.850655,48
14.649027,3.7114186,7.2261896,49
14.75889,3.424168,7.9105535,50
12.924789,3.5280318,5.8687263,51
12.626263,3.5668232,5.4926157,52
14.214445,3.305867,7.602711,53
13.548891,3.503734,6.5414233,54
12.428739,3.501404,5.4259305,55
14.012104,3.435481,7.141142,56
13.788521,3.3618896,7.0647416,57
12.774845,3.6016426,5.5715604,58
12.500558,3.5375938,5.42537,59
13.04425,3.4352663,6.173717,60
14.276257,3.3800561,7.5161443,61
13.980213,3.558765,6.862683,62
12.762678,3.492525,5.7776284,63
12.407679,3.4651735,5.4773316,64
11.945013,3.3845377,5.175937,65
13.019636,3.4514337,6.116769,66
12.133379,3.547433,5.0385137,67
12.080307,3.3927722,5.294763,68
12.576696,3.647304,5.282088,69
11.616856,3.5323205,4.552215,70
13.382687,3.5932915,6.196103,71
12.509529,3.4402487,5.6290317,72
11.942097,3.5222638,4.897569,73
11.774836,3.472735,4.8293657,74
12.43177,3.52259,5.38659,75
11.752172,3.4374022,4.8773675,76
12.49489,3.5981681,5.298554,77
11.729746,3.5143776,4.70099,78
12.028,3.519445,4.9891105,79
12.022273,3.542677,4.936919,80
11.903885,3.4198635,5.0641575,81
11.580387,3.4287145,4.722958,82
11.494419,3.4663587,4.5617023,83
11.583483,3.496368,4.5907464,84
11.822652,3.564072,4.694508,85
11.946625,3.3873074,5.1720104,86
12.242193,3.4213305,5.3995323,87
12.135748,3.41207,5.311608,88
12.001994,3.5333977,4.935199,89
11.988922,3.3982792,5.1923637,90
11.788082,3.5334182,4.7212462,91
11.908376,3.4306593,5.047057,92
11.712555,3.470868,4.770818,93
11.642924,3.5012834,4.6403575,94
11.758779,3.4883132,4.782152,95
11.820497,3.4485388,4.923419,96
12.012346,3.4554398,5.1014667,97
11.786892,3.462944,4.8610044,98
11.710199,3.499971,4.710258,99
11.659135,3.4994202,4.6602945,100
