bce,elbo,kld,epoch
170.0701,173.19211,3.1220028,1
160.99715,164.45216,3.4550138,2
158.06636,161.67781,3.6114504,3
155.68181,159.36636,3.6845548,4
153.1636,156.85565,3.69204,5
150.36029,154.29384,3.9335487,6
148.34201,152.45233,4.1103272,7
147.45589,151.51727,4.0613866,8
146.3691,150.525,4.155898,9
145.48158,149.57886,4.0972724,10
144.95918,149.05373,4.094545,11
144.63005,148.91107,4.2810206,12
145.24646,149.52802,4.281553,13
143.82008,148.16527,4.3451896,14
143.77873,147.91106,4.1323214,15
144.13634,148.34026,4.2039137,16
143.79065,148.10796,4.3173056,17
143.0417,147.4127,4.3710065,18
143.47855,147.74567,4.2671127,19
142.90434,147.23581,4.33147,20
143.50073,147.89153,4.3907967,21
143.21152,147.52388,4.312362,22
143.09271,147.54227,4.449547,23
142.97585,147.22482,4.24897,24
142.98598,147.40355,4.4175715,25
143.43643,147.938,4.5015693,26
143.05115,147.4545,4.403355,27
142.95993,147.4924,4.5324707,28
142.88148,147.49097,4.6094847,29
142.98067,147.47775,4.497081,30
143.109,147.55739,4.448398,31
143.18901,147.65546,4.46645,32
143.25352,147.85309,4.599558,33
143.84808,148.2568,4.4087243,34
143.45862,147.97607,4.51745,35
143.59897,148.06432,4.4653497,36
143.74022,148.34335,4.6031337,37
143.63777,148.0539,4.4161215,38
143.83232,148.38452,4.5522056,39
144.05577,148.5445,4.488721,40
144.3059,148.81401,4.5081124,41
144.16797,148.76137,4.5934024,42
143.66815,148.13116,4.4630136,43
143.90813,148.52605,4.617926,44
144.46678,148.98756,4.520783,45
144.3206,148.91919,4.5985827,46
143.81047,148.37386,4.5633907,47
144.68402,149.24225,4.5582256,48
144.29492,148.83415,4.5392346,49
144.6511,149.1556,4.504507,50
143.68318,148.31122,4.6280427,51
144.58272,149.10703,4.52431,52
144.4315,149.0925,4.6609936,53
144.17181,148.79094,4.6191306,54
143.91109,148.56439,4.6533113,55
143.88733,148.5843,4.6969776,56
144.20439,148.8524,4.6480155,57
144.19714,148.88272,4.6855803,58
143.70811,148.39348,4.6853576,59
144.16354,148.72414,4.560587,60
144.00641,148.65016,4.643755,61
144.08708,148.72734,4.640263,62
144.0723,148.682,4.6097064,63
144.22523,148.86995,4.6447153,64
144.26175,148.96437,4.7026157,65
144.29736,148.90482,4.607457,66
144.44043,149.05084,4.610405,67
144.37863,149.00687,4.6282372,68
144.2993,148.98972,4.690416,69
144.455,149.12653,4.671522,70
144.22905,148.86958,4.6405272,71
144.3326,149.00885,4.6762533,72
144.05484,148.78413,4.7292914,73
144.37166,149.06947,4.6978116,74
144.12323,148.82274,4.699508,75
144.10892,148.79483,4.68591,76
144.10849,148.81117,4.702679,77
144.21211,148.86545,4.653341,78
144.13152,148.8435,4.7119894,79
144.29622,148.98758,4.691363,80
144.3346,149.04697,4.7123713,81
144.2369,148.95694,4.720048,82
144.12427,148.84381,4.719545,83
144.04396,148.77719,4.7332363,84
143.83342,148.53513,4.701704,85
143.68443,148.4153,4.730861,86
143.80699,148.51247,4.7054806,87
143.71115,148.42053,4.709377,88
143.66588,148.39174,4.725864,89
143.71902,148.43704,4.7180233,90
143.78888,148.48433,4.6954427,91
143.74449,148.44835,4.703862,92
143.7494,148.46187,4.7124662,93
143.76251,148.47322,4.710703,94
143.706,148.41821,4.7122135,95
143.63618,148.36491,4.7287235,96
143.62129,148.34383,4.7225275,97
143.60818,148.3538,4.745615,98
143.62141,148.349,4.7275915,99
143.61794,148.3622,4.744263,100
