elbo,kld,mse,epoch
30.944042,6.837655,24.106388,1
21.059353,5.6410594,15.418293,2
14.670946,5.541237,9.129709,3
13.787082,5.8622875,7.924794,4
18.74719,5.285227,13.461964,5
11.696375,5.2983665,6.398009,6
13.8070965,4.865672,8.941424,7
9.789558,5.666769,4.12279,8
9.848693,5.2228107,4.625882,9
10.730637,4.98449,5.7461467,10
9.149473,5.3197355,3.829738,11
10.343564,5.5728207,4.7707434,12
9.080765,5.4405766,3.6401882,13
9.392057,5.314478,4.077579,14
10.036878,5.51637,4.520508,15
10.651569,4.894435,5.757134,16
8.666838,5.448679,3.218159,17
10.681225,5.137513,5.543712,18
8.946057,5.9445105,3.0015466,19
10.28606,4.49318,5.792881,20
10.433715,4.7950363,5.6386786,21
8.679367,5.5289397,3.1504269,22
11.097106,5.041012,6.056094,23
12.6216345,5.024086,7.5975485,24
11.096769,4.970223,6.1265464,25
10.849545,4.6261864,6.2233586,26
9.298833,4.8060246,4.4928083,27
8.123529,5.0382075,3.085322,28
10.199045,5.0273623,5.171683,29
11.316704,4.26634,7.0503645,30
8.520246,5.0616827,3.4585626,31
10.076209,5.6146064,4.4616027,32
9.821807,4.460542,5.3612647,33
10.884152,4.7911963,6.092956,34
8.658039,5.204088,3.4539511,35
10.320499,4.099964,6.2205358,36
8.237692,5.140446,3.0972452,37
9.615499,4.864131,4.7513676,38
10.386458,4.5104527,5.8760056,39
9.261341,4.629724,4.6316175,40
8.998074,4.96277,4.035303,41
9.454742,4.998924,4.455819,42
9.5618,4.3231983,5.238602,43
8.775909,4.695523,4.080387,44
9.323821,4.525967,4.797854,45
9.516603,4.093076,5.4235277,46
7.612019,4.511032,3.100987,47
7.866786,4.304224,3.5625622,48
8.448128,4.1135216,4.3346057,49
7.100589,4.237543,2.863046,50
7.330158,4.423376,2.9067822,51
8.431303,4.683795,3.7475076,52
7.961248,4.0928497,3.8683982,53
7.3215656,4.326801,2.9947648,54
7.4825754,4.0599756,3.4226,55
7.207507,4.1033416,3.1041658,56
7.0510736,4.1298666,2.921207,57
7.773324,4.0773907,3.6959333,58
7.7363734,4.1032295,3.633144,59
7.0925403,4.073106,3.0194345,60
6.7870703,4.0362024,2.7508678,61
6.867819,4.109531,2.7582881,62
7.821761,4.1301117,3.6916492,63
6.6095505,4.1163454,2.4932053,64
7.6760864,4.0179396,3.658147,65
6.8855395,4.073126,2.8124137,66
6.618061,4.3055854,2.3124754,67
6.538919,4.3260293,2.2128897,68
7.088892,4.072973,3.0159194,69
7.863455,4.1360846,3.7273703,70
6.826215,4.1361756,2.6900392,71
7.064947,3.9657953,3.0991518,72
6.719859,4.1266522,2.5932071,73
7.0929985,4.1108346,2.9821641,74
7.0150795,4.1541543,2.8609252,75
6.7803907,4.241258,2.5391328,76
6.976454,4.1854177,2.7910364,77
7.0731864,4.14021,2.9329762,78
6.7193985,4.1158,2.6035984,79
6.6760564,4.461422,2.2146344,80
6.758849,4.118369,2.64048,81
7.006707,4.178011,2.8286963,82
6.865487,4.215505,2.6499817,83
6.8809185,4.16559,2.7153287,84
6.6412506,4.259794,2.3814566,85
6.5088506,4.216659,2.2921915,86
6.521448,4.3269033,2.1945446,87
6.6665864,4.317163,2.3494234,88
6.5074596,4.2415833,2.2658763,89
6.739599,4.1730103,2.5665889,90
6.591688,4.177466,2.4142222,91
6.804402,4.2238,2.5806017,92
6.5927873,4.2230062,2.369781,93
6.590148,4.248691,2.3414567,94
6.6572657,4.2418056,2.41546,95
6.645651,4.164711,2.48094,96
6.6977825,4.250548,2.4472346,97
6.6946306,4.208895,2.4857354,98
6.613303,4.249272,2.364031,99
6.593593,4.257871,2.335722,100
