elbo,kld,mse,epoch
34.088703,6.303514,27.785189,1
14.7451935,5.485192,9.260002,2
18.396967,5.3720527,13.024914,3
13.78631,5.4461427,8.340167,4
11.909511,5.201091,6.70842,5
15.358725,5.304296,10.054428,6
9.014064,5.266563,3.747501,7
9.32015,5.002215,4.3179355,8
9.337564,5.0877585,4.2498055,9
9.502712,4.8493547,4.653358,10
8.62111,4.6692386,3.9518714,11
9.016261,4.8236556,4.1926055,12
7.7765064,4.7612433,3.015263,13
7.837779,4.762803,3.0749762,14
8.06326,4.44758,3.6156802,15
10.028526,4.6477184,5.380808,16
7.9337006,4.650325,3.2833757,17
7.689712,4.6351914,3.0545206,18
7.545882,4.6403193,2.905563,19
7.569927,4.315345,3.2545822,20
8.131229,4.5283184,3.6029112,21
7.948102,4.4292483,3.518854,22
7.8081794,4.384266,3.4239135,23
7.661829,4.2765822,3.3852468,24
7.9608326,4.2838035,3.6770291,25
7.796013,4.5338984,3.2621145,26
7.850275,4.366427,3.4838483,27
7.079212,4.2954955,2.7837164,28
7.174595,4.46571,2.7088845,29
6.5870533,4.2171206,2.369933,30
7.3425283,4.2261963,3.116332,31
7.662235,4.432098,3.2301369,32
6.8046064,4.304354,2.5002525,33
7.071145,4.3767014,2.6944435,34
6.521908,4.452304,2.0696042,35
6.7797613,4.35335,2.4264114,36
6.3492994,4.128296,2.2210033,37
6.6647058,4.149775,2.5149307,38
6.809817,3.9446871,2.8651297,39
6.865936,4.0318975,2.8340383,40
6.6874833,4.070804,2.6166792,41
6.4904833,4.022312,2.4681711,42
6.8025146,3.8235123,2.9790022,43
7.043938,3.9663537,3.0775845,44
6.6146603,3.984887,2.6297736,45
6.334431,4.0284133,2.3060179,46
6.653408,3.9897017,2.663706,47
6.3851995,4.203547,2.1816528,48
6.253421,4.1004953,2.1529255,49
6.1262417,4.076502,2.0497396,50
6.424891,4.04626,2.378631,51
6.6189003,4.092583,2.5263171,52
6.4262667,3.9606316,2.4656353,53
6.3049736,3.9280872,2.3768864,54
6.0528464,3.8922515,2.160595,55
6.2847753,3.9374733,2.347302,56
6.211252,4.031993,2.1792595,57
6.3396225,4.0315137,2.3081086,58
5.8395395,4.0234437,1.816096,59
6.4315042,3.8636806,2.567824,60
6.1720676,3.9508362,2.2212317,61
6.9491158,3.9505613,2.9985542,62
6.322618,4.018753,2.303865,63
6.079392,3.9039474,2.1754446,64
6.1025906,3.9375138,2.1650767,65
5.946048,3.9374928,2.008555,66
5.8494816,4.048967,1.8005149,67
5.665674,4.16289,1.5027844,68
5.889016,4.052123,1.8368932,69
5.7817345,3.9979196,1.7838148,70
5.781413,4.0455365,1.7358768,71
6.286362,4.030783,2.255579,72
6.201687,3.919699,2.2819877,73
5.658331,4.072575,1.5857561,74
5.865007,3.929994,1.9350129,75
5.7282867,3.9129896,1.815297,76
6.1955013,3.9611921,2.2343092,77
5.8208723,3.9363818,1.8844907,78
5.759274,3.9830441,1.7762297,79
5.8079085,3.99016,1.8177484,80
6.2838564,3.9375038,2.3463526,81
5.618216,3.9636428,1.6545731,82
5.739795,3.9698975,1.7698978,83
5.619668,3.945295,1.6743731,84
5.6006494,3.9889894,1.6116601,85
5.5536838,4.0412765,1.5124074,86
5.5883574,3.9955313,1.5928262,87
5.548042,3.9695396,1.5785023,88
5.565873,3.926638,1.6392354,89
5.6338024,3.959824,1.6739781,90
5.5879126,3.9356885,1.652224,91
5.567798,3.9861257,1.5816724,92
5.568513,3.950846,1.6176671,93
5.5086565,3.947521,1.5611353,94
5.553535,3.9414532,1.6120816,95
5.4993753,3.951301,1.548074,96
5.4928737,3.9506643,1.5422093,97
5.5169888,3.92672,1.5902691,98
5.500371,3.9515133,1.5488577,99
5.4809623,3.961968,1.5189942,100
