elbo,kld,mse,epoch
46.431755,10.853079,24.725595,1
35.282806,7.287924,20.706959,2
31.65374,7.421539,16.810661,3
26.616291,6.653757,13.308776,4
23.51742,5.9266872,11.664045,5
21.198677,5.5369544,10.124769,6
19.035011,4.9238625,9.187285,7
18.708275,4.5281796,9.6519165,8
17.757084,4.5774684,8.602148,9
16.051987,4.742836,6.5663147,10
15.639563,4.2176595,7.2042437,11
15.063852,4.443556,6.1767406,12
15.6140995,4.064476,7.485147,13
14.26535,4.5536065,5.158138,14
14.368286,4.240986,5.886315,15
15.006613,4.089376,6.827861,16
15.223327,4.0948386,7.0336494,17
15.556097,4.0414577,7.4731817,18
13.3111,4.069083,5.172934,19
15.837259,4.1916633,7.453933,20
13.98255,3.629087,6.724376,21
12.837797,4.338379,4.1610394,22
15.842057,4.222235,7.397587,23
13.099684,3.6723478,5.7549877,24
13.057116,4.480851,4.0954127,25
12.214862,3.919858,4.375146,26
13.145116,3.9773386,5.1904387,27
14.58782,4.055616,6.4765887,28
13.3605385,4.4706745,4.4191895,29
12.487984,4.095782,4.29642,30
12.598433,3.921614,4.755205,31
12.832743,3.841209,5.150325,32
15.948038,3.823106,8.301826,33
12.922918,4.0977445,4.72743,34
13.559977,3.7260373,6.1079025,35
12.371801,4.230406,3.9109898,36
12.886013,4.1217804,4.6424527,37
14.633524,3.6699042,7.293715,38
12.368444,4.0495443,4.2693563,39
11.988996,3.9221575,4.1446805,40
12.054157,3.8789015,4.2963543,41
12.757885,3.6018643,5.554156,42
13.46954,4.054738,5.3600636,43
12.29421,3.808448,4.6773148,44
13.020241,3.7442117,5.531818,45
12.501345,3.7371552,5.0270343,46
14.27278,3.7485027,6.775775,47
12.310992,4.194764,3.921464,48
12.149661,3.4457054,5.25825,49
14.505942,3.6789443,7.1480536,50
13.123885,3.8392627,5.4453597,51
13.316633,3.6700654,5.9765024,52
12.480864,3.7253733,5.0301166,53
13.2385235,3.6904054,5.8577123,54
12.991747,3.9834738,5.0248,55
12.485758,3.6808496,5.1240587,56
12.537619,3.782757,4.9721045,57
12.526413,3.6292627,5.267888,58
12.720309,3.629619,5.4610715,59
11.82926,3.694007,4.441246,60
12.369848,3.629928,5.109992,61
13.12623,3.786574,5.553083,62
11.912955,3.8385277,4.2359,63
13.300213,3.5185657,6.263081,64
13.173633,3.5418005,6.0900316,65
12.319797,3.711921,4.8959546,66
12.14179,3.7835708,4.574649,67
12.356453,3.5189207,5.3186116,68
12.843927,3.5217838,5.80036,69
13.274799,3.5961418,6.0825152,70
12.502821,3.5753136,5.3521934,71
12.242393,3.6389554,4.964482,72
12.570255,3.5676308,5.4349933,73
12.568357,3.5111647,5.5460277,74
12.321945,3.6119323,5.09808,75
12.4496155,3.5229592,5.4036975,76
13.028055,3.4079032,6.212249,77
12.723942,3.5892463,5.5454493,78
13.020575,3.4294662,6.1616416,79
12.607302,3.4947226,5.617856,80
12.292273,3.5554128,5.1814466,81
12.467363,3.527073,5.413217,82
12.607663,3.5910435,5.425576,83
12.210415,3.5213423,5.1677303,84
12.144017,3.5216208,5.1007757,85
12.384968,3.5268843,5.3311987,86
12.040155,3.5607493,4.9186573,87
11.813704,3.644304,4.525095,88
12.042326,3.542319,4.9576874,89
11.874779,3.5888054,4.6971684,90
11.829197,3.5938334,4.64153,91
11.954279,3.524822,4.904635,92
11.830842,3.5825229,4.6657963,93
11.912024,3.5644822,4.7830596,94
11.943084,3.5584362,4.8262115,95
11.800567,3.5587604,4.683046,96
11.826202,3.6110656,4.6040716,97
11.847002,3.5572095,4.7325826,98
11.85701,3.5877717,4.681466,99
11.771779,3.5841296,4.60352,100
