elbo,kld,mse,epoch
33.737442,15.570583,18.16686,1
25.372787,12.919925,12.452863,2
20.629929,12.55472,8.075208,3
26.671097,11.556698,15.114398,4
17.44161,10.371987,7.0696225,5
16.62678,9.850014,6.776766,6
15.861863,9.421331,6.4405317,7
15.983889,8.867053,7.1168356,8
16.25012,8.294759,7.9553614,9
14.723816,7.8939505,6.829866,10
14.746843,6.984606,7.762238,11
14.214594,7.277966,6.9366274,12
13.864695,6.782222,7.082473,13
11.064983,6.8747697,4.190214,14
11.167297,6.720248,4.4470496,15
11.362269,6.699534,4.6627355,16
11.557272,6.0006027,5.5566697,17
10.984554,6.6112947,4.373259,18
9.900046,6.8477554,3.0522912,19
9.85778,6.3221416,3.535639,20
10.474021,6.467032,4.006989,21
9.782425,5.9645424,3.817882,22
9.654212,5.4770117,4.1772003,23
10.030404,5.912117,4.118287,24
13.172489,5.140672,8.031817,25
8.706612,5.865481,2.8411312,26
10.903094,5.308933,5.5941615,27
8.603123,5.2432394,3.3598835,28
9.095653,5.0494924,4.04616,29
8.8572,4.8837395,3.97346,30
8.012996,4.9390454,3.0739505,31
7.869084,5.078198,2.790886,32
8.731479,4.9604583,3.7710207,33
9.175642,5.4115157,3.764126,34
7.5645,5.1483803,2.4161198,35
10.089287,5.25268,4.8366075,36
7.8779335,4.47769,3.4002435,37
7.456171,4.807679,2.6484919,38
8.115902,4.947049,3.1688528,39
8.331104,4.457838,3.8732667,40
7.592403,4.815726,2.7766771,41
8.034071,4.2659044,3.768167,42
7.26083,4.853728,2.4071019,43
8.908405,5.1294093,3.778996,44
7.4693336,4.6347756,2.8345582,45
7.7262545,4.7476506,2.9786036,46
7.72803,4.7015862,3.026444,47
7.5901065,4.5005155,3.089591,48
8.059037,4.7274485,3.3315885,49
8.2276535,4.571988,3.6556659,50
7.9869704,4.756444,3.2305264,51
7.8134937,5.0845313,2.7289622,52
7.932396,4.7883577,3.1440382,53
8.161901,4.8550177,3.306884,54
8.316351,4.82241,3.493941,55
7.8207974,4.8342757,2.9865217,56
9.305068,4.5932484,4.7118196,57
9.15789,4.6160593,4.541831,58
8.300161,4.9135027,3.386659,59
8.784955,4.6565824,4.1283727,60
8.35253,5.1758313,3.1766984,61
8.428179,5.1235495,3.3046296,62
8.448296,4.8391466,3.609149,63
8.597227,4.6283646,3.968862,64
8.45175,4.5394444,3.9123054,65
7.992115,4.894355,3.09776,66
8.859337,4.841876,4.0174603,67
8.394676,4.8146253,3.5800507,68
8.235193,4.6661406,3.5690525,69
8.461839,4.734275,3.7275636,70
8.510744,5.0596056,3.451139,71
8.500466,4.6972814,3.8031847,72
8.380563,4.9330945,3.4474685,73
9.01831,4.7490625,4.269247,74
9.1523,4.6838923,4.4684076,75
9.00318,4.6131463,4.3900332,76
8.513072,4.8307257,3.6823463,77
8.591412,4.6891713,3.90224,78
8.517767,4.701876,3.8158913,79
8.813166,4.6392384,4.173927,80
8.694336,4.6224337,4.0719028,81
8.40176,4.7642775,3.6374824,82
8.856563,4.726098,4.1304646,83
8.775961,4.6694922,4.1064687,84
8.738254,4.648143,4.090111,85
8.775171,4.600039,4.175132,86
8.963251,4.653271,4.30998,87
8.619681,4.6803985,3.9392827,88
8.527095,4.771382,3.755713,89
8.638292,4.613663,4.024629,90
8.567984,4.774003,3.7939806,91
8.924227,4.6054235,4.318803,92
8.756081,4.6888733,4.067207,93
8.616574,4.717844,3.8987305,94
8.709869,4.6692004,4.0406685,95
8.662521,4.766871,3.89565,96
8.587844,4.7955174,3.7923267,97
8.632183,4.711215,3.9209683,98
8.65453,4.7066793,3.9478502,99
8.657629,4.7565575,3.901072,100
