bce,elbo,kld,epoch
77.918175,110.19864,32.280468,1
65.49119,99.015945,33.52476,2
60.425884,93.43592,33.010036,3
56.76896,89.44878,32.679813,4
54.679985,87.45346,32.77348,5
52.020424,84.907875,32.88745,6
49.821022,83.49052,33.669495,7
49.484196,82.38286,32.898666,8
47.72072,81.30191,33.58119,9
47.830578,80.30397,32.47339,10
46.94012,79.20757,32.267452,11
45.985195,78.59359,32.608395,12
44.786285,77.9661,33.179817,13
44.757954,77.78436,33.026405,14
44.551674,77.53271,32.981033,15
44.243538,77.189316,32.945774,16
43.59221,76.28818,32.695965,17
42.861687,75.869995,33.008312,18
42.71638,75.81177,33.09539,19
42.80736,75.21886,32.4115,20
41.719376,74.9458,33.22643,21
42.955986,75.13655,32.18057,22
42.01971,74.51165,32.49194,23
41.31964,74.55456,33.234917,24
40.632908,73.96881,33.335907,25
40.87444,74.11182,33.23738,26
41.948406,74.3487,32.400295,27
41.132843,73.81785,32.685005,28
40.89775,73.56581,32.668056,29
40.60107,73.30478,32.703705,30
40.926117,73.20531,32.279186,31
40.616493,73.19844,32.581944,32
40.710575,72.684685,31.97411,33
40.386414,72.92985,32.543434,34
40.79013,72.618034,31.827906,35
39.71217,72.5314,32.819233,36
39.721596,72.374756,32.65316,37
39.72965,72.35224,32.622593,38
40.376434,72.22883,31.852394,39
39.909405,71.98193,32.07253,40
39.05131,71.86221,32.810905,41
39.51701,71.9036,32.386593,42
39.26595,71.520645,32.2547,43
38.753773,71.62386,32.87009,44
38.95649,71.49472,32.538235,45
38.99349,71.36987,32.37638,46
39.068455,71.448135,32.379684,47
38.590412,71.37195,32.781532,48
39.101463,71.282906,32.181442,49
38.996223,71.37084,32.37462,50
38.343998,70.981995,32.638,51
38.699135,70.94902,32.249886,52
38.57631,70.912,32.33569,53
38.87573,70.89896,32.023228,54
38.5363,70.756996,32.220695,55
38.369648,70.68757,32.31792,56
38.114723,70.585464,32.470737,57
37.960876,70.59774,32.636864,58
38.427177,70.598526,32.171352,59
38.26531,70.495316,32.230003,60
37.50828,70.45087,32.94258,61
38.077423,70.4871,32.409676,62
37.81752,70.25368,32.436157,63
38.067867,70.315796,32.247932,64
37.894474,70.21997,32.325497,65
37.945972,70.19035,32.244385,66
37.055515,70.17663,33.121113,67
37.61791,70.02039,32.402485,68
37.27799,70.11447,32.836487,69
37.228886,70.055786,32.826904,70
37.56765,70.028946,32.461296,71
37.398327,69.96981,32.571484,72
37.387684,69.87944,32.491756,73
37.482803,69.8762,32.393394,74
37.502983,69.89215,32.389164,75
37.58818,69.83023,32.242054,76
37.059002,69.78973,32.730724,77
37.283558,69.75341,32.469852,78
37.369278,69.87042,32.50114,79
37.206097,69.76818,32.562084,80
37.043644,69.66113,32.617493,81
37.259674,69.60405,32.34438,82
36.943954,69.613945,32.66999,83
37.1019,69.6375,32.535595,84
37.121357,69.57042,32.449062,85
37.266575,69.6176,32.35103,86
37.008915,69.523254,32.51434,87
37.0208,69.50229,32.48149,88
36.980972,69.517075,32.536102,89
37.189007,69.49092,32.301914,90
36.830013,69.45591,32.625896,91
36.791958,69.486725,32.69477,92
36.942844,69.46239,32.519543,93
36.980865,69.448166,32.467297,94
36.989857,69.44107,32.451218,95
36.928093,69.439316,32.511223,96
36.984077,69.43137,32.447296,97
36.900463,69.43873,32.538265,98
36.95752,69.43108,32.473564,99
36.96833,69.44241,32.474087,100
