bce,elbo,kld,epoch
90.087585,121.53056,31.44298,1
76.60008,108.425896,31.825813,2
68.736275,100.437805,31.701527,3
62.510216,94.66463,32.154415,4
58.35756,90.176315,31.818754,5
55.994106,87.01982,31.025719,6
54.391777,84.93334,30.541563,7
52.084995,82.902664,30.81767,8
50.13469,81.180695,31.046005,9
49.64149,79.885086,30.243599,10
48.278473,78.61383,30.335356,11
48.28071,78.07092,29.790215,12
46.514664,77.5033,30.988642,13
45.98507,76.645004,30.659937,14
46.200714,76.184265,29.983551,15
45.409225,75.71953,30.3103,16
45.058407,75.40783,30.34942,17
44.896976,75.026535,30.129562,18
43.671524,74.773506,31.101982,19
43.28037,74.483406,31.203037,20
43.285244,74.08332,30.798077,21
43.204872,73.945244,30.740374,22
43.124386,73.67447,30.55008,23
43.469814,73.53675,30.066935,24
41.936558,72.94423,31.007675,25
42.804623,73.08059,30.275969,26
41.945236,72.903305,30.95807,27
41.984386,72.80557,30.821182,28
42.723244,72.70411,29.980867,29
41.796646,72.28346,30.486814,30
41.995266,72.35048,30.35521,31
41.71579,72.113365,30.397577,32
40.85316,71.938835,31.085676,33
41.717934,71.85727,30.139332,34
40.81507,71.63136,30.816296,35
40.833054,71.429276,30.596226,36
41.837276,71.73772,29.900438,37
40.336224,71.45689,31.12066,38
40.563107,71.4397,30.87659,39
40.263542,71.25509,30.991547,40
40.71796,70.99592,30.277956,41
39.822105,70.74899,30.926891,42
39.847073,70.68627,30.839197,43
40.334354,70.80902,30.474667,44
40.256203,70.674866,30.41866,45
40.291428,70.62829,30.336859,46
40.117706,70.634155,30.51645,47
39.72829,70.518326,30.790037,48
39.860752,70.37487,30.51412,49
39.658962,70.25441,30.595444,50
38.94332,70.11934,31.17602,51
39.388996,70.17242,30.783419,52
39.296276,70.021194,30.724916,53
39.398815,70.01033,30.611519,54
39.398144,69.912476,30.514328,55
39.19201,69.76091,30.568897,56
39.55614,69.61774,30.061594,57
38.73579,69.60558,30.869791,58
38.87015,69.65226,30.782106,59
38.362377,69.682625,31.320246,60
38.427578,69.51596,31.088385,61
38.82522,69.43738,30.612162,62
38.414753,69.41284,30.998085,63
38.22071,69.24114,31.020432,64
38.089764,69.34288,31.253119,65
38.3018,69.34766,31.045858,66
38.286877,69.201645,30.914766,67
37.778942,69.131546,31.352604,68
38.25299,69.13911,30.886114,69
38.34986,69.05465,30.704788,70
37.89009,69.03817,31.14808,71
37.804756,68.9874,31.182636,72
38.010643,69.04979,31.03915,73
37.535202,68.93623,31.401035,74
38.27198,68.92581,30.653831,75
37.72264,68.85217,31.129532,76
37.615574,68.78502,31.169449,77
37.838192,68.81522,30.977034,78
37.42706,68.80844,31.381378,79
37.6543,68.76162,31.107317,80
37.565826,68.74635,31.180527,81
37.550232,68.745605,31.195374,82
37.322796,68.67207,31.34928,83
37.854347,68.695724,30.841377,84
37.530693,68.66949,31.138796,85
37.481438,68.63376,31.15232,86
37.284714,68.604675,31.319963,87
37.303585,68.63077,31.327187,88
37.239655,68.57103,31.331371,89
37.446198,68.56267,31.116474,90
37.315296,68.53823,31.222937,91
37.27601,68.52278,31.24677,92
37.34437,68.54523,31.20086,93
37.33687,68.50936,31.172491,94
37.425655,68.499695,31.07404,95
37.277855,68.50348,31.225622,96
37.352146,68.49727,31.145126,97
37.276936,68.48668,31.209743,98
37.36623,68.48808,31.12185,99
37.264057,68.486206,31.222149,100
