elbo,kld,mse,epoch
29.29985,26.132902,16.2334,1
20.869904,23.878439,8.930685,2
17.72126,19.676308,7.8831053,3
17.170113,17.903227,8.2185,4
15.209421,16.652084,6.883379,5
12.745715,15.821475,4.8349776,6
11.368341,13.745248,4.495717,7
11.519394,12.375095,5.3318458,8
9.830702,11.889132,3.8861358,9
9.436466,10.664008,4.104462,10
8.505979,10.537466,3.2372458,11
8.887327,10.581917,3.596369,12
8.30307,9.49952,3.5533094,13
7.6541166,8.83855,3.234842,14
7.714407,9.189825,3.1194942,15
7.3449125,9.232188,2.7288184,16
8.293771,8.630621,3.9784606,17
7.4150724,7.762311,3.533917,18
7.47142,7.81552,3.56366,19
6.260257,7.498386,2.511064,20
6.705122,7.911145,2.7495494,21
6.447402,7.6059036,2.6444504,22
6.7102413,7.873032,2.7737253,23
6.2208633,7.112996,2.6643653,24
7.044381,7.7637506,3.162506,25
5.7529397,7.3719544,2.0669625,26
5.941976,7.7909617,2.0464952,27
5.7147903,7.1793528,2.125114,28
5.513645,7.2168145,1.9052382,29
6.1448774,6.849859,2.7199478,30
5.9995036,7.154591,2.422208,31
5.930545,6.843175,2.5089571,32
6.0406632,6.6758966,2.702715,33
6.6825485,6.812406,3.2763457,34
5.6165085,7.076601,2.0782077,35
6.796445,7.496507,3.048191,36
5.9194207,6.20569,2.8165758,37
5.66969,6.555896,2.3917422,38
6.006017,6.79434,2.6088471,39
5.5251465,6.4232564,2.3135183,40
5.7984514,6.7348866,2.4310083,41
5.142106,6.3001747,1.9920186,42
5.8883524,6.452843,2.661931,43
5.2277684,6.5964904,1.9295232,44
5.3370314,6.226001,2.2240307,45
5.376055,6.180266,2.2859216,46
5.5901837,5.8219924,2.6791875,47
5.8470054,6.709591,2.49221,48
5.78216,6.7473392,2.40849,49
5.535001,5.7738237,2.6480887,50
5.448609,6.2218504,2.3376837,51
5.474231,5.8600516,2.5442047,52
5.8233194,6.8350353,2.4058018,53
6.1825104,5.9415464,3.211737,54
5.5524735,6.0060244,2.5494614,55
5.6872673,5.7237663,2.825384,56
5.745057,5.9460645,2.7720249,57
5.3205266,6.0593195,2.2908669,58
5.397792,5.823648,2.485968,59
5.792591,6.7540493,2.4155662,60
5.449652,6.0276594,2.4358225,61
5.4516106,5.732291,2.5854647,62
5.432619,6.0939894,2.3856244,63
5.7164326,6.599706,2.4165792,64
5.5961914,5.782676,2.7048535,65
5.1785283,5.449946,2.4535553,66
5.0574875,5.7444124,2.1852813,67
5.462354,6.1533566,2.385676,68
5.378749,5.5297856,2.6138563,69
5.5160027,6.388303,2.3218513,70
5.217538,5.787299,2.3238885,71
5.424157,5.755206,2.5465543,72
5.418762,5.978425,2.4295495,73
5.1781464,6.255345,2.0504737,74
5.1426325,5.715313,2.2849758,75
5.6179323,5.392918,2.9214735,76
5.1156654,5.759572,2.2358794,77
5.2492223,5.848725,2.3248599,78
5.2321568,5.860885,2.301714,79
5.3106184,5.641295,2.489971,80
5.2889295,5.801231,2.388314,81
5.0697746,5.9501014,2.0947237,82
5.4045067,5.924678,2.4421675,83
5.148467,6.088097,2.1044188,84
5.152828,6.3557367,1.9749601,85
5.2293334,5.800142,2.3292625,86
5.0818214,6.1935787,1.985032,87
5.3168297,5.7988315,2.417414,88
5.165347,6.045898,2.142398,89
5.227968,5.956933,2.2495015,90
5.1513157,6.0349607,2.1338356,91
5.1130853,5.9185405,2.153815,92
5.104282,6.142092,2.0332358,93
5.1924496,5.970649,2.2071252,94
5.143217,6.2293158,2.0285592,95
5.1159306,6.3000383,1.9659113,96
5.0907407,6.1614614,2.01001,97
5.082438,6.2378716,1.963502,98
5.1411858,5.9550424,2.1636643,99
5.155634,5.902054,2.204607,100
