elbo,kld,mse,epoch
23.9199,21.772892,13.033455,1
17.840324,18.867403,8.406622,2
16.092592,17.130047,7.527569,3
13.53017,16.110327,5.4750066,4
13.410683,15.3630085,5.729178,5
11.537618,15.06431,4.0054626,6
12.65657,13.789067,5.7620373,7
10.608284,12.06545,4.5755596,8
9.405733,11.916559,3.4474537,9
9.307715,11.972091,3.3216703,10
9.451184,10.312786,4.294791,11
8.69423,11.007657,3.1904016,12
8.048545,9.997628,3.0497305,13
7.9968843,9.717307,3.138231,14
8.24149,9.744265,3.369358,15
7.486074,9.530359,2.7208943,16
6.946538,8.797601,2.5477374,17
8.0169735,9.542508,3.245719,18
6.5670667,8.284297,2.4249182,19
7.0652866,8.540211,2.7951813,20
6.9721413,8.2157955,2.8642437,21
6.840831,7.3452153,3.168223,22
6.721465,7.020131,3.2113996,23
6.259351,8.19024,2.164231,24
5.7320356,7.591461,1.9363053,25
5.8670526,7.181043,2.276531,26
6.3923025,7.594165,2.5952203,27
5.711499,6.7642775,2.3293605,28
5.266723,6.76738,1.8830332,29
5.476942,6.8446674,2.054608,30
5.8663015,6.990927,2.3708377,31
5.3385954,6.1844954,2.2463477,32
5.802764,6.651707,2.4769104,33
5.042941,6.47123,1.8073263,34
5.118821,6.442026,1.8978082,35
5.7748256,6.284433,2.6326091,36
5.9663897,6.1037354,2.9145217,37
5.2454205,5.8278413,2.3315,38
4.9228272,5.970514,1.9375703,39
4.9765735,5.7544055,2.0993707,40
4.9698696,5.8253403,2.0571992,41
5.3768663,5.8055186,2.4741073,42
5.202394,5.398519,2.5031345,43
4.7308674,5.7575006,1.8521173,44
4.993413,5.614258,2.186284,45
5.5479136,5.6658826,2.7149725,46
4.6049886,5.7432065,1.7333852,47
5.4853334,6.1683326,2.401167,48
5.7461576,5.383013,3.0546515,49
5.1202793,6.0591135,2.0907228,50
5.137206,5.6781244,2.298144,51
5.250289,5.9912014,2.2546883,52
4.9332457,5.4252605,2.2206156,53
5.238247,5.39548,2.5405066,54
5.0646257,5.959803,2.0847242,55
4.7362986,5.5500917,1.9612528,56
5.266222,5.783384,2.3745303,57
5.2988057,5.878719,2.3594463,58
5.6164417,5.728145,2.7523694,59
5.4138594,5.758344,2.534687,60
5.883951,5.7208266,3.023538,61
5.0062265,5.633393,2.1895301,62
5.334313,5.561296,2.553665,63
5.237322,5.57917,2.4477365,64
5.3444233,5.8884454,2.4002006,65
5.172621,5.929983,2.207629,66
4.956048,5.713982,2.0990567,67
5.451641,5.863439,2.5199218,68
5.049302,5.6884937,2.2050552,69
5.3863955,5.412957,2.679917,70
5.5380034,5.494237,2.790885,71
5.3560753,5.7824655,2.4648428,72
5.2803903,5.8516917,2.3545444,73
5.408305,5.6207123,2.5979488,74
5.50902,5.7907367,2.6136515,75
5.6272287,5.6308465,2.8118057,76
5.4259577,6.055432,2.3982418,77
5.491008,5.786603,2.597706,78
5.707389,5.71134,2.851719,79
5.8600407,5.829867,2.9451075,80
5.5888643,5.87166,2.6530342,81
5.8197803,5.8383546,2.900603,82
6.0670953,5.641022,3.2465842,83
5.6002836,5.8305187,2.685024,84
5.7734003,6.05818,2.7443104,85
5.6405773,5.8205433,2.730306,86
5.553976,6.294515,2.4067185,87
5.522807,6.036012,2.504801,88
5.5803494,5.831072,2.6648135,89
5.55378,6.1193566,2.4941018,90
5.5195513,6.1363096,2.4513967,91
5.559437,6.0487328,2.5350704,92
5.563821,6.000265,2.563688,93
5.5084887,6.0812874,2.4678447,94
5.5188894,6.114407,2.461686,95
5.5243206,6.197203,2.4257188,96
5.5337086,6.1094728,2.4789724,97
5.523074,6.170553,2.4377975,98
5.5541925,6.199429,2.454478,99
5.5693235,6.1715317,2.4835577,100
