bce,elbo,kld,epoch
85.943855,103.60439,17.660536,1
78.70783,96.54752,17.839693,2
74.94009,93.297134,18.357048,3
72.75871,91.131035,18.372326,4
71.16682,89.76668,18.59986,5
69.59917,88.77372,19.174555,6
69.28999,87.96947,18.679474,7
68.021545,87.418785,19.39724,8
67.78667,86.93231,19.145643,9
66.86548,86.261566,19.396084,10
66.44631,86.113266,19.666952,11
66.152985,85.680695,19.527706,12
65.99923,85.607735,19.60851,13
65.27158,84.91856,19.64697,14
65.26329,84.64153,19.378242,15
64.468544,84.53697,20.068426,16
64.567154,84.200485,19.633333,17
64.19021,83.96942,19.779215,18
63.909767,83.72363,19.813862,19
63.724907,83.6357,19.91079,20
63.541367,83.50875,19.967384,21
63.52225,83.29621,19.773964,22
63.648453,83.29503,19.646576,23
62.843254,82.97469,20.13144,24
62.63597,82.790405,20.154432,25
62.77346,82.83549,20.062025,26
62.78153,82.736824,19.9553,27
62.32359,82.51526,20.191671,28
62.449894,82.51723,20.067333,29
62.424976,82.233116,19.808142,30
62.235195,82.21977,19.984577,31
61.740757,82.00834,20.267582,32
61.82422,82.04491,20.22069,33
61.51962,81.85928,20.339664,34
61.625576,81.85727,20.231691,35
61.82569,81.863106,20.037415,36
61.64026,81.79496,20.154705,37
61.530277,81.67189,20.141615,38
61.244076,81.65845,20.41437,39
61.015755,81.391495,20.375742,40
61.191776,81.4255,20.23372,41
61.20323,81.389015,20.18578,42
60.69801,81.43968,20.74167,43
61.00056,81.266495,20.265936,44
60.661667,81.13267,20.471003,45
60.708767,81.1226,20.413832,46
60.53256,81.00157,20.469015,47
60.476646,80.92147,20.444828,48
60.468224,80.98529,20.517065,49
60.38756,80.88711,20.499542,50
60.730644,81.07195,20.341307,51
60.300503,80.878044,20.577541,52
60.08683,80.87847,20.79164,53
60.170185,80.78775,20.617567,54
60.200367,80.777145,20.576775,55
60.384785,80.70905,20.32427,56
60.261448,80.710014,20.448568,57
59.8732,80.62942,20.75622,58
59.94316,80.67665,20.733492,59
59.969334,80.67106,20.701725,60
59.813297,80.5969,20.7836,61
59.974464,80.539154,20.564692,62
59.881004,80.51644,20.635433,63
59.771603,80.44434,20.67274,64
59.84202,80.44563,20.603613,65
59.970837,80.40933,20.4385,66
59.96441,80.41224,20.44783,67
59.706833,80.408646,20.701815,68
59.585953,80.323105,20.737154,69
59.84191,80.41918,20.57727,70
59.637398,80.3277,20.690298,71
59.45855,80.23919,20.78064,72
59.546387,80.21216,20.665768,73
59.54256,80.24519,20.702631,74
59.4206,80.23517,20.814571,75
59.446884,80.15389,20.70701,76
59.43624,80.20017,20.763931,77
59.52776,80.16317,20.635408,78
59.293587,80.173294,20.879707,79
59.288193,80.16648,20.87829,80
59.376423,80.09067,20.714243,81
59.360752,80.10247,20.741716,82
59.331203,80.06317,20.73197,83
59.17776,80.07659,20.898829,84
59.230206,80.07372,20.843521,85
59.251602,80.055626,20.804022,86
59.199936,80.05615,20.856215,87
59.308563,80.03642,20.727863,88
59.190823,80.01505,20.824232,89
59.235096,80.0236,20.788502,90
59.173695,79.99538,20.82168,91
59.222412,79.99593,20.773518,92
59.132236,79.98076,20.848522,93
59.192627,79.98073,20.788097,94
59.14601,79.977356,20.831347,95
59.13543,79.969986,20.834558,96
59.17304,79.957146,20.78411,97
59.15624,79.96882,20.812576,98
59.17486,79.9545,20.779642,99
59.137585,79.96631,20.828724,100
