bce,elbo,kld,epoch
128.39592,163.5993,7.040677,1
116.78617,154.20212,7.483191,2
106.24616,148.7107,8.492908,3
104.51311,145.90521,8.2784195,4
100.87593,144.20529,8.665874,5
99.11505,141.95822,8.568636,6
97.29152,140.61145,8.663988,7
93.984436,139.90143,9.183399,8
95.320984,138.99716,8.735234,9
93.6515,138.34781,8.939264,10
92.78754,137.81226,9.004945,11
91.61372,136.71562,9.02038,12
90.42684,135.95041,9.104714,13
90.58339,135.68677,9.020677,14
89.96831,135.11214,9.028768,15
90.71071,135.49702,8.957264,16
88.85059,134.68921,9.167726,17
88.71157,134.26227,9.11014,18
86.87943,134.22205,9.468524,19
87.31624,133.63054,9.262861,20
85.903175,133.66188,9.551741,21
88.17378,133.28975,9.023193,22
85.96757,133.2598,9.4584465,23
87.87701,133.13708,9.052016,24
85.29538,132.49455,9.439834,25
87.365585,132.4877,9.024422,26
84.97904,132.31607,9.467404,27
84.841515,132.24208,9.480114,28
85.00987,131.8978,9.377585,29
84.64266,131.90582,9.452634,30
85.67903,131.5958,9.183354,31
84.71381,131.75815,9.408866,32
84.69807,131.28235,9.316858,33
84.20103,131.10541,9.3808775,34
84.42319,131.21945,9.359255,35
83.11035,130.8394,9.545811,36
85.675735,130.74306,9.013464,37
82.87564,130.51065,9.527,38
83.539314,130.7949,9.4511175,39
83.530396,130.52542,9.399006,40
84.159904,130.27734,9.223488,41
83.40367,130.52731,9.424729,42
83.264465,130.02145,9.3513975,43
84.7981,130.50655,9.141688,44
83.764946,129.86908,9.220825,45
83.553925,130.01994,9.293204,46
83.03599,129.59726,9.312256,47
82.489494,129.88596,9.479291,48
82.94397,129.93413,9.398031,49
82.42018,129.65007,9.445977,50
82.50611,130.09464,9.517703,51
81.78219,129.39745,9.523052,52
82.5144,129.67093,9.431306,53
83.055984,129.25566,9.239936,54
80.985985,129.05641,9.614085,55
82.44709,129.44733,9.400048,56
82.61856,129.33504,9.343296,57
80.33686,128.87802,9.708233,58
81.73837,128.93236,9.438797,59
80.88235,129.04161,9.631852,60
81.51529,128.78088,9.453118,61
81.46157,129.19867,9.54742,62
81.4941,128.57565,9.416309,63
81.08112,128.6675,9.517275,64
80.080055,128.7347,9.730928,65
81.3855,128.67029,9.456957,66
81.2655,128.6792,9.482738,67
81.42,128.57823,9.431647,68
81.11352,128.41107,9.459512,69
80.81588,128.32526,9.501875,70
80.695755,128.3049,9.521828,71
80.02037,128.59314,9.714553,72
81.57221,128.5022,9.385996,73
80.70745,128.51527,9.561565,74
79.84565,128.16444,9.663759,75
80.61945,128.19948,9.516005,76
80.0452,128.07774,9.606509,77
80.44437,128.22078,9.555283,78
80.84483,128.07933,9.4469,79
80.45031,128.0115,9.5122385,80
80.22286,127.95441,9.5463085,81
80.228134,127.90366,9.535107,82
80.24184,127.874535,9.52654,83
80.637146,127.899445,9.452459,84
80.34913,127.87197,9.504568,85
79.41584,127.90775,9.698383,86
80.02516,127.82187,9.559342,87
80.21899,127.78418,9.513039,88
79.884026,127.78,9.579194,89
80.32591,127.80369,9.495555,90
80.65919,127.77121,9.422404,91
79.69377,127.7654,9.6143265,92
80.14564,127.70815,9.512504,93
79.9463,127.7117,9.5530815,94
79.71437,127.71112,9.599349,95
80.29164,127.73567,9.488808,96
79.97214,127.71762,9.549097,97
80.00629,127.7119,9.541122,98
80.03249,127.684555,9.530412,99
79.99,127.72235,9.546471,100
