bce,elbo,kld,epoch
164.51208,167.70503,3.1929483,1
157.7876,161.04309,3.2555006,2
154.67249,158.06773,3.3952498,3
151.57729,155.13217,3.5548828,4
148.74052,152.43286,3.6923308,5
146.4932,150.33202,3.8388238,6
145.30762,149.01828,3.7106695,7
144.26309,148.26143,3.99833,8
143.3919,147.31328,3.921368,9
142.47015,146.29434,3.8241956,10
142.11423,146.15668,4.0424476,11
142.06308,146.02467,3.961589,12
140.62909,144.62892,3.9998398,13
140.0549,144.06932,4.014415,14
139.91847,143.84598,3.9275117,15
139.77925,143.73073,3.951471,16
139.49669,143.58168,4.0849986,17
139.13785,143.21007,4.072212,18
138.3372,142.4013,4.0640974,19
138.32611,142.55771,4.231603,20
138.03981,142.22394,4.1841216,21
138.03647,142.05618,4.0197086,22
137.75772,141.9776,4.2198825,23
138.63591,142.70633,4.0704255,24
137.44632,141.56146,4.115138,25
137.15997,141.37022,4.210257,26
137.42917,141.54749,4.1183147,27
137.29941,141.43756,4.1381526,28
137.1757,141.34334,4.1676283,29
137.2908,141.40785,4.1170516,30
137.29588,141.45006,4.154172,31
136.82962,141.0736,4.2439804,32
136.3064,140.52501,4.2186184,33
136.3103,140.51305,4.202739,34
136.46936,140.71599,4.2466264,35
136.49805,140.67996,4.1819096,36
136.00038,140.18736,4.186975,37
136.5761,140.77875,4.202656,38
136.07393,140.33754,4.2636065,39
136.44472,140.70781,4.2630877,40
136.54892,140.804,4.2550807,41
136.70374,141.00548,4.3017473,42
136.23856,140.54471,4.306156,43
136.28876,140.61497,4.3262234,44
136.1058,140.406,4.300207,45
136.63239,140.8699,4.237517,46
136.22816,140.53192,4.303758,47
136.07072,140.40555,4.33483,48
136.18202,140.44691,4.2648864,49
136.0178,140.30513,4.287317,50
135.5912,139.93362,4.3424215,51
135.86977,140.2015,4.331741,52
136.0845,140.42014,4.3356285,53
135.57571,139.93004,4.3543215,54
135.87405,140.25003,4.375977,55
135.93483,140.2885,4.353671,56
135.66228,140.0417,4.379423,57
135.3918,139.77019,4.3783803,58
135.49324,139.89645,4.403214,59
135.56229,139.97289,4.4105997,60
135.4696,139.88133,4.411729,61
135.57143,140.00276,4.4313316,62
135.57309,140.03027,4.4571786,63
135.52988,139.95557,4.4256935,64
135.61736,140.04085,4.423493,65
135.70502,140.17555,4.470536,66
135.52739,139.94914,4.421753,67
135.70195,140.1662,4.4642415,68
135.91986,140.35493,4.435077,69
135.7793,140.22974,4.4504437,70
135.54948,140.02463,4.4751444,71
135.4554,139.92572,4.4703274,72
135.47144,139.95232,4.480874,73
135.35985,139.86511,4.505267,74
135.45143,139.90231,4.4508815,75
135.64268,140.11333,4.470635,76
135.85588,140.29799,4.4421153,77
135.5911,140.04381,4.452713,78
135.48251,139.95319,4.4706798,79
135.54924,140.03603,4.486787,80
135.4159,139.8885,4.472606,81
135.4406,139.89897,4.4583673,82
135.4176,139.9102,4.4925976,83
135.40186,139.88087,4.479025,84
135.28482,139.76227,4.4774446,85
135.43971,139.93579,4.496073,86
135.33864,139.82008,4.481447,87
135.26599,139.75075,4.4847627,88
135.25658,139.74702,4.4904475,89
135.28523,139.78432,4.4990845,90
135.26595,139.76138,4.4954405,91
135.29543,139.79974,4.5043106,92
135.25868,139.76764,4.508954,93
135.28708,139.78622,4.4991484,94
135.30228,139.81638,4.5141025,95
135.27885,139.79118,4.5123353,96
135.32526,139.83229,4.507035,97
135.31,139.82797,4.517968,98
135.31044,139.8122,4.501762,99
135.31671,139.8291,4.5123854,100
