gkbar,gnabar,ADP_peak_amplitude,ADP_peak_values,AHP1_depth_from_peak,AHP2_depth_from_peak,AHP_depth,AHP_depth_abs,AHP_depth_abs_slow,AHP_depth_diff,AHP_depth_from_peak,AHP_depth_slow,AHP_slow_time,AHP_time_from_peak,AP1_amp,AP1_begin_voltage,AP1_begin_width,AP1_peak,AP1_width,AP2_AP1_begin_width_diff,AP2_AP1_diff,AP2_AP1_peak_diff,AP2_amp,AP2_begin_voltage,AP2_begin_width,AP2_peak,AP2_width,AP_amplitude,AP_amplitude_change,AP_amplitude_diff,AP_amplitude_from_voltagebase,AP_begin_time,AP_begin_voltage,AP_begin_width,AP_duration,AP_duration_change,AP_duration_half_width,AP_duration_half_width_change,AP_fall_rate,AP_fall_rate_change,AP_fall_time,AP_height,AP_peak_downstroke,AP_peak_upstroke,AP_rise_rate,AP_rise_rate_change,AP_rise_time,AP_width,AP_width_between_threshold,APlast_amp,APlast_width,ISI_values,Spikecount,Spikecount_stimint,all_ISI_values,amp_drop_first_last,amp_drop_first_second,amp_drop_second_last,decay_time_constant_after_stim,doublet_ISI,fast_AHP,fast_AHP_change,inv_first_ISI,inv_last_ISI,inv_second_ISI,inv_time_to_first_spike,max_amp_difference,maximum_voltage,maximum_voltage_from_voltagebase,mean_AP_amplitude,mean_frequency,min_AHP_values,min_between_peaks_values,min_voltage_between_spikes,minimum_voltage,peak_time,peak_voltage,postburst_min_values,sag_ratio2,spike_half_width,spike_width2,steady_state_hyper,steady_state_voltage,steady_state_voltage_stimend,strict_burst_mean_freq,time_to_first_spike,time_to_last_spike,time_to_second_spike,voltage,voltage_after_stim,voltage_base,voltage_deflection,voltage_deflection_begin,voltage_deflection_vb_ssse,ISIs
34.68717987899946,113.98960258204522,0.0,-74.86170863380683,114.54651195403034,104.5989012582332,-9.976860256628179,-74.86170863380683,-71.5653642764699,0.03814572466384334,105.94246864850095,-6.680515899291244,0.33534548119154384,2.5933333333333346,95.72167753951919,-56.19314441176576,3.280000000000001,39.52853312775344,1.6024617027316908,-0.45000000000000284,-14.661535619014757,-9.7717780866607,81.06014192050444,-51.30338687941169,2.8299999999999983,29.75675504109274,1.5145634301938145,84.42034343097964,-0.15741936273350055,-5.102497633114306,95.96560839187278,48.61333333333334,-52.01802965349618,2.8966666666666647,3.383333333333331,-0.09972899728997402,1.2166666666666677,-0.12647058823529417,-46.26715836168069,0.01395704738889023,2.2650000000000006,31.080760014694125,-62.06341896805796,218.59582552837753,74.22587383692911,-0.07406936880389212,1.1183333333333305,1.4716666666666667,1.4716666666666667,80.41418464017627,1.5107888279325885,14.91,6.0,4.0,14.966,10.23689595217214,9.7717780866607,0.4651178655114414,39.61743211459351,15.19,22.676618685118736,0.2557648174874819,65.83278472679395,67.06908115358821,67.02412868632709,450.4504504504503,9.7717780866607,39.52853312775344,104.41338150493209,84.42034343097964,84.6740050804403,-74.86170863380683,-74.86170863380683,-74.86860031997666,-75.01797882627689,49.731666666666676,31.080760014694125,-74.82725020295767,-2.886380085294225,1.5267689718124524,0.7707386724732664,-74.79873624303762,-58.384836750247494,-35.636782447212994,83.83635144198524,2.2200000000000006,77.05,17.41,-56.65721629395296,-51.0263315336322,-64.88484837717866,-9.8861298803658,13.638640144569962,29.248065929965662,14.966
30.138350617612957,127.8874233283154,0.0,-74.74473689051608,116.13255672698773,109.2659002195781,-10.57230334722078,-74.74473689051608,-71.7334061565579,0.023864883079833515,110.08855363824031,-7.560972613262595,0.3740836293811952,2.8100000000000023,98.1450924010156,-56.87849906619145,3.4800000000000004,41.26659333482416,1.7069300871631357,-0.41000000000000014,-10.97303867917401,-6.733416955173709,87.17205372184159,-52.63887734219114,3.0700000000000003,34.53317637965045,1.6071497950902007,89.75896435499806,-0.113928305407974,-3.7587907592210805,99.51625029101955,51.27,-53.160620758984756,3.117142857142858,3.590000000000001,-0.08719931271477636,1.3214285714285732,-0.11791383219954553,-44.03795037443678,0.022488300535196678,2.4728571428571464,35.343816747724226,-59.96661788902685,248.4319704380908,79.2048632338912,-0.018010944358348376,1.1171428571428554,1.6257142857142894,1.6257142857142894,86.86872012335236,1.6029504566182489,13.366,7.0,4.0,13.413333333333334,6.9487977905120175,6.733416955173709,0.21538083533830843,3.295699524923248,13.65,21.485264956039444,0.23334921921263949,73.26007326007326,74.8502994011976,74.73841554559044,490.1960784313723,6.733416955173709,41.26659333482416,105.43902687811948,89.75896435499806,94.27292010370022,-74.74473689051608,-74.74473689051608,-74.74839735665468,-74.86596339216356,52.38714285714286,35.343816747724226,-74.72277409368456,0.6649624521348998,1.6184619591170046,0.8385131501930273,-66.80566367137133,-54.1897480434532,-71.28322937357649,89.78003890468352,2.040000000000001,82.52,15.690000000000001,-54.81221653692237,-58.28884306644399,-64.17243354329531,-2.334249406864501,12.14727675725534,-7.110795830281177,13.413333333333334
35.10292526015677,111.71612615821081,0.0,-74.85453161406996,114.25092747785507,103.54362962057051,-9.903953169080419,-74.85453161406996,-71.49878452488474,0.04090056046837276,104.94026510403103,-6.548206079895216,0.3276003539607296,2.563333333333332,95.26362500512816,-56.03457378797101,3.25,39.22905121715715,1.589606690686191,-0.46000000000000085,-15.567502467886428,-10.519757740680902,79.69612253724173,-50.98682906076548,2.789999999999999,28.709293476476248,1.5043246222495155,83.2403399025197,-0.16828088163362434,-5.428534368801702,95.03631193495062,49.505,-51.73387643492794,2.859999999999998,3.3550000000000004,-0.1029972752043596,1.2,-0.12537313432835823,-46.415027816360144,0.010353328187370786,2.2366666666666664,30.085733489961083,-62.09458653452026,211.90843806047664,73.06929242475958,-0.08628411321698569,1.1183333333333338,1.450000000000001,1.450000000000001,78.97802189872306,1.500829225891766,15.262500000000003,6.0,4.0,15.314000000000002,11.099113898658572,10.519757740680902,0.5793561579776707,6.021465072613386,15.52,22.9511989832766,0.2609570603988752,64.43298969072166,65.53079947575358,65.48788474132286,444.44444444444446,10.519757740680902,39.22905121715715,104.17962966214668,83.2403399025197,82.81573498964802,-74.85453161406996,-74.85453161406996,-74.86196324521273,-75.02187626069792,50.623333333333335,30.085733489961083,-74.81737345835606,-3.1295806652615012,1.5162411542086438,0.7698815361689277,-41.34193017256804,-58.822504895706295,-33.43163952685816,81.90008190008189,2.25,78.82000000000001,17.77,-56.79504928010374,-50.88678701939552,-64.95057844498953,16.71814328746413,13.87002290508979,31.51893891813137,15.314000000000002
38.8119005316405,126.54423920606021,0.0,-75.11586250798588,115.49701261878248,106.15435229465913,-9.91675945327181,-75.11586250798588,-72.04142496196414,0.03261948109749539,107.42787750248682,-6.8423219072500565,0.3268508886118768,2.5766666666666675,96.77980510214672,-56.53238254391476,3.2700000000000014,40.247422558231975,1.6049133387554264,-0.4399999999999995,-14.024860499296011,-9.191705870420506,82.75494460285071,-51.69922791503925,2.830000000000002,31.05571668781147,1.5103474187079993,85.97916416534687,-0.14880020234800365,-4.861707050026737,97.511118049215,49.568333333333335,-52.39241105032885,2.890000000000002,3.356666666666666,-0.09945355191256852,1.2199999999999995,-0.13138686131386987,-46.90547441813237,0.019572431143469453,2.2683333333333326,32.31201499450093,-64.88043892358765,235.06254794277393,77.75774299542725,-0.06231467437536041,1.0883333333333336,1.4816666666666636,1.4816666666666636,82.19468395206651,1.5062761459585194,15.2975,6.0,4.0,15.35,9.612821969654934,9.191705870420506,0.4211160992344283,4.926983305339271,15.56,22.559044583290834,0.2565711968011579,64.26735218508998,65.402223675605,65.31678641410842,456.62100456621016,9.191705870420506,40.247422558231975,105.44652561294605,85.97916416534687,82.7300930713547,-75.11586250798588,-75.11586250798588,-75.12173647857045,-75.2495900605505,50.656666666666666,32.31201499450093,-75.08649265506303,-3.184395887792372,1.52346127960503,0.7742143012521098,-36.23314538990825,-59.08677247535584,-33.19437356301788,81.71269815329302,2.1899999999999995,78.94,17.75,-57.01406383802109,-51.26182634428724,-65.19910305471407,22.497091826448226,13.52669870567371,32.004729491696196,15.35
31.007218375918065,120.00396280574408,0.0,-74.73493305060319,115.41776773137974,107.57166963470937,-10.353279684953892,-74.73493305060319,-71.583758508116,0.026985638542771067,108.48848529275669,-7.202105142466701,0.36411305156315765,2.732857142857142,97.09526532458287,-56.549415624607036,3.41,40.545849699975825,1.6670430666094336,-0.4200000000000017,-12.095358837619244,-7.6958408649029195,84.99990648696362,-52.14989765189071,2.9899999999999984,32.850008835072906,1.5716304731456223,87.85194925737505,-0.12693122967164305,-4.150775310213987,98.13520560780282,52.43857142857143,-52.7127190558096,3.04,3.521428571428571,-0.09118673647469488,1.2785714285714298,-0.11619718309859055,-44.79090358541039,0.022054797677559163,2.3957142857142855,33.7535522421535,-60.21045682369478,234.6856043703622,76.77083757399215,-0.041272016559905526,1.125714285714285,1.564285714285713,1.564285714285713,84.6429393939409,1.5675701715114954,13.732,7.0,4.0,13.781666666666666,7.974829858245421,7.6958408649029195,0.2789889933425016,2.092822125752911,14.030000000000001,21.913477027015333,0.23518455332081795,71.27583749109051,72.83321194464682,72.78020378457059,473.93364928909966,7.6958408649029195,40.545849699975825,104.92750306562513,87.85194925737505,91.72208209126347,-74.73493305060319,-74.73493305060319,-74.7390878590125,-74.87191803140392,53.564285714285724,33.7535522421535,-74.7100042001473,0.39839608581472125,1.582404682867953,0.8143687925228313,-69.21441999101935,-54.2810113120979,-68.56093374764642,87.3871249635887,2.1099999999999994,84.8,16.14,-54.98491630069327,-59.463686426994315,-64.3816533656493,-4.545689666959262,12.676373196239766,-4.179280381997117,13.781666666666666
40.24150887251082,111.24217779392382,0.0,-75.21266483516362,113.66854376626785,,-9.766859667763299,-75.21266483516362,,,113.66854376626785,,,2.66,94.28167914718568,-55.82580021608146,3.1500000000000004,38.45587893110422,1.537697201707489,,,,,,,,,94.28167914718568,,,103.90168409850455,11.15,-55.82580021608146,3.1500000000000004,3.5500000000000007,,1.2899999999999991,,-47.71277949669762,,2.360000000000001,38.45587893110422,-66.84495832649517,281.9365839180146,79.22830180435776,,1.1899999999999995,1.58,1.58,94.28167914718568,1.537697201707489,,1.0,1.0,,,,,461.05239544370613,,,,,,,427.35042735042737,,38.45587893110422,103.90168409850455,94.28167914718568,427.35042735042737,-75.21266483516362,-75.21266483516362,,-75.21266483516362,12.34,38.45587893110422,,-0.5142279653845409,1.537697201707489,,-60.431561621994796,-60.44249262678144,-60.42341279225007,,2.34,2.34,,-60.263230321185944,-60.48139419032701,-65.44580516740032,5.00905536946761,14.880403909604723,5.022392375150254,
31.82446328337705,124.88163982619746,0.0,-74.81526260267319,115.80991433346584,108.3201625271062,-10.380474192247984,-74.81526260267319,-71.74700019153946,0.025200769147012636,109.20325486252622,-7.312211781114255,0.36416613699460415,2.7414285714285724,97.64408111545518,-56.7773691671733,3.42,40.86671194828189,1.6750368455898108,-0.41999999999999993,-11.755076807532475,-7.349241097887585,85.8890043079227,-52.37153345752841,3.0,33.517470850394304,1.5775823181181008,88.64617367890214,-0.12286673988173896,-4.048766889164398,98.82278067027823,52.41428571428571,-52.915960582503196,3.0514285714285703,3.528571428571428,-0.09181897302001768,1.2899999999999998,-0.1215277777777775,-44.81554055187708,0.022980182325734805,2.411428571428572,34.38799225985303,-60.96193932988459,242.08987375297482,78.11991351286656,-0.027932238222333188,1.1171428571428557,1.579999999999999,1.579999999999999,85.49778044796199,1.5735526969511828,13.73,7.0,4.0,13.778333333333334,7.607532421877309,7.349241097887585,0.25829132398972376,2.085994090963797,14.02,21.78574354362738,0.23912431313270485,71.32667617689016,72.83321194464673,72.78020378457059,478.4688995215311,7.349241097887585,40.86671194828189,105.30150035870709,88.64617367890214,91.78522257916475,-74.81526260267319,-74.81526260267319,-74.81914007473506,-74.94320238518395,53.53142857142858,34.38799225985303,-74.79199777030188,0.41359178133627394,1.5886279210249312,0.8208502876767128,-69.34182803395949,-54.30407393711822,-68.78098206526467,87.3998543335761,2.09,84.76,16.11,-55.006048510844856,-59.51435085643084,-64.4347884104252,-4.622418090361805,12.54394781571024,-4.3461936548394675,13.778333333333334
39.33609192260161,126.40410918027078,0.0,-75.13036012275153,115.44302000672175,105.81249852651743,-9.880529667484952,-75.13036012275153,-72.04888801635114,0.033303902998918035,107.10598049465762,-6.799057561084581,0.3225286495705164,2.5616666666666656,96.69575230350364,-56.51950918290134,3.2600000000000016,40.1762431206023,1.5992766078389034,-0.46000000000000085,-14.47727230816767,-9.476891933871752,82.21847999533597,-51.51912880860542,2.8000000000000007,30.69935118673055,1.5049344544202536,85.58348026878222,-0.15322661399289858,-5.003898168557484,97.22545082717266,50.078333333333326,-52.29886785483588,2.873333333333335,3.3416666666666672,-0.10136986301369841,1.210000000000001,-0.1323529411764705,-47.04247891754267,0.01863299768331199,2.2549999999999986,31.975620371906118,-65.09694051678868,233.1237121431886,77.47796956233474,-0.06542270692596937,1.0866666666666693,1.4716666666666685,1.4716666666666685,81.68405779783119,1.5008410855164955,15.502500000000001,6.0,4.0,15.552000000000001,9.940788175319316,9.476891933871752,0.46389624144756425,3.7874620494213596,15.749999999999998,22.660163601996537,0.26089774525561626,63.4920634920635,64.51612903225806,64.47453255963893,454.54545454545433,9.476891933871752,40.1762431206023,105.42607357586886,85.58348026878222,81.69934640522875,-75.13036012275153,-75.13036012275153,-75.13638067307686,-75.26677688611944,51.165,31.975620371906118,-75.10025737112485,-2.857284465438272,1.517983536209946,0.7694234861437167,-8.373534182930303,-58.698424824254104,-36.62856502726328,80.63215610385421,2.200000000000001,79.96000000000001,17.95,-57.06835003224834,-54.65611763961198,-65.24983045526656,50.20627671514156,13.61930904962032,28.621265428003284,15.552000000000001
40.33139725482749,110.99618527829486,0.0,-75.21406530497035,113.62223512667745,,-9.758657044293571,-75.21406530497035,,,113.62223512667745,,,2.6500000000000004,94.25734458773283,-55.849174766025726,3.1500000000000004,38.4081698217071,1.5360373054501633,,,,,,,,,94.25734458773283,,,103.86357808238387,11.15,-55.849174766025726,3.1500000000000004,3.5500000000000007,,1.2899999999999991,,-47.89265245863974,,2.3500000000000014,38.4081698217071,-66.87458605677747,281.826092079924,78.54778715644407,,1.1999999999999993,1.58,1.58,94.25734458773283,1.5360373054501633,,1.0,1.0,,,,,504.05667131041486,,,,,,,425.5319148936171,,38.4081698217071,103.86357808238387,94.25734458773283,425.5319148936171,-75.21406530497035,-75.21406530497035,,-75.21406530497035,12.35,38.4081698217071,,-0.5136953113215867,1.5360373054501633,,-60.45295845187956,-60.45736689207631,-60.442431892227795,,2.3499999999999996,2.3499999999999996,,-60.28000919354002,-60.4963585455757,-65.45540826067678,4.997742381381997,14.919912093419335,5.012976368448982,
31.345907364032488,121.06255812706293,0.0,-74.76146224271925,115.49795415669077,107.69057985097498,-10.347113130697846,-74.76146224271925,-71.62580308763862,0.026613773175427013,108.60534916473092,-7.2114539756172125,0.3633721697903185,2.7299999999999995,97.18742851249192,-56.58606071574653,3.4000000000000004,40.60136779674539,1.6668087953758564,-0.4200000000000035,-12.070421770424531,-7.65914558992656,85.11700674206739,-52.17478453524856,2.979999999999997,32.94222220681883,1.5711221692564041,87.95857187166284,-0.12661248863262672,-4.1469575225136355,98.25823603403309,52.528571428571425,-52.72111209750511,3.0342857142857156,3.515714285714288,-0.09011373578302674,1.2785714285714282,-0.1161971830985918,-44.868946098093396,0.019465797743483098,2.394285714285715,33.8438869220117,-60.48127139071862,236.17878674461016,77.15603351844844,-0.03669794483268982,1.1214285714285726,1.5685714285714283,1.5685714285714283,84.74655594495101,1.5669930717956406,13.76,7.0,4.0,13.81,7.930467088585246,7.65914558992656,0.27132149865868627,2.0622742938125818,14.060000000000002,21.927252969970606,0.23702611684996225,71.12375533428164,72.67441860465121,72.62164124909225,473.93364928909966,7.65914558992656,40.60136779674539,105.01571690876679,87.95857187166284,91.53318077803203,-74.76146224271925,-74.76146224271925,-74.76555532969032,-74.89658635994537,53.65000000000001,33.8438869220117,-74.73690372089281,0.3310849343608927,1.5819001881252615,0.816016057581565,-69.44785656371837,-54.28443628370958,-67.88485994320561,87.2093023255814,2.1099999999999994,84.97,16.17,-54.99812284323738,-59.56122466248995,-64.4143491120214,-4.749171502668972,12.671206358927051,-3.470510831184214,13.81
